vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,density
36881,Набережные Челны,Бургеры,49.0,0.0,0.0,0.0
36513,Набережные Челны,Шашлыки,15.0,0.0,0.0,0.0
37246,Набережные Челны,Суши,254.0,5.0,3.0,0.009746588693957114
37640,Набережные Челны,Шашлыки,12.0,0.0,0.0,0.0
36647,Набережные Челны,Пицца,97.0,6.0,2.0,0.03
36568,Набережные Челны,Пицца,136.0,2.0,2.0,0.0072992700729927005
27184,Набережные Челны,Пицца,124.0,1.0,1.0,0.004016064257028112
37359,Набережные Челны,Китайская,35.0,1.0,0.0,0.014084507042253521
37142,Набережные Челны,Китайская,20.0,1.0,0.0,0.024390243902439025
27071,Набережные Челны,Суши,66.0,0.0,2.0,0.0
26564,Нижневартовск,Суши,55.0,2.0,3.0,0.017857142857142856
30377,Нижневартовск,Суши,95.0,1.0,1.0,0.005235602094240838
22950,Нижневартовск,Суши,55.0,12.0,18.0,0.09836065573770492
37211,Нижневартовск,Бургеры,65.0,12.0,2.0,0.08450704225352113
23216,Нижневартовск,Японская,102.0,0.0,0.0,0.0
37210,Нижневартовск,Бургеры,103.0,3.0,3.0,0.014354066985645933
35910,Нижневартовск,Шаурма,0.0,0.0,2.0,
31186,Нижневартовск,Японская,161.0,1.0,2.0,0.0030959752321981426
36830,Нижневартовск,Суши,100.0,0.0,0.0,0.0
24041,Нижневартовск,Суши,128.0,1.0,0.0,0.0038910505836575876
24363,Нижневартовск,Суши,33.0,1.0,1.0,0.014925373134328358
31352,Нижневартовск,Суши,35.0,2.0,0.0,0.027777777777777776
37809,Нижневартовск,Суши,0.0,2.0,0.0,1.0
37474,Нижневартовск,Суши,92.0,0.0,0.0,0.0
22318,Нижний Новгород,Пицца,28.0,1.0,0.0,0.017543859649122806
35881,Нижний Новгород,Шашлыки,24.0,0.0,0.0,0.0
23807,Нижний Новгород,Суши,151.0,1.0,3.0,0.0033003300330033004
22211,Нижний Новгород,Суши,79.0,29.0,20.0,0.15508021390374332
11583,Нижний Новгород,Пицца,20.0,0.0,0.0,0.0
3850,Нижний Новгород,Шашлыки,64.0,2.0,1.0,0.015384615384615385
25300,Нижний Новгород,Пицца,42.0,0.0,0.0,0.0
37667,Нижний Новгород,Русская,5.0,0.0,0.0,0.0
28312,Нижний Новгород,Шашлыки,3.0,0.0,0.0,0.0
11820,Нижний Новгород,Суши,52.0,6.0,0.0,0.05454545454545454
22651,Нижний Новгород,Грузинская,31.0,0.0,1.0,0.0
36416,Нижний Новгород,Суши,7.0,0.0,0.0,0.0
36860,Нижний Новгород,Шашлыки,90.0,0.0,1.0,0.0
15856,Нижний Новгород,Пицца,85.0,9.0,18.0,0.05027932960893855
13443,Новокузнецк,Суши,21.0,1.0,0.0,0.023255813953488372
36226,Новокузнецк,Суши,52.0,3.0,1.0,0.028037383177570093
36315,Новокузнецк,Шашлыки,38.0,5.0,2.0,0.06172839506172839
35568,Новокузнецк,Суши,31.0,2.0,6.0,0.03125
